country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Togo,17.6,26.4,35.3,38.3,41.2,41.2,41.2,41.2,41.2,41.2,41.2,35.3,32.4,32.4,29.4
Thailand,64.7,67.7,70.6,70.6,70.6,70.6,70.6,67.6,67.6,64.7,61.8,58.8,58.8,64.7,52.9
Tajikistan,11.8,11.8,11.8,13.3,14.7,14.7,14.7,14.7,14.7,11.8,8.8,8.8,8.8,8.8,8.8
Turkmenistan,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9
Timor-Leste,82.4,82.4,82.4,82.4,82.4,82.4,79.4,79.4,79.4,79.4,79.4,76.5,76.5,76.5,73.5
Trinidad and Tobago,82.4,80.9,79.4,79.4,79.4,79.4,82.4,82.4,82.4,82.4,82.4,79.4,73.5,73.5,73.5
Tunisia,38.2,36.8,35.3,33.9,32.4,44.1,47.1,47.1,50,58.8,58.8,58.8,58.8,58.8,55.9
Turkey,55.9,53,50,48.5,47.1,47.1,41.2,38.2,35.3,29.4,26.5,23.5,23.5,23.5,23.5
Taiwan,97.1,97.1,97.1,97.1,97.1,94.1,94.1,94.1,94.1,94.1,94.1,91.2,91.2,91.2,97.1
Tanzania,52.9,52.9,52.9,52.9,52.9,52.9,55.9,55.9,55.9,52.9,50,47.1,44.1,44.1,44.1
Uganda,67.6,67.6,67.6,64.7,61.8,58.8,58.8,61.8,61.8,61.8,61.8,58.8,58.8,58.8,52.9
Ukraine,82.4,80.9,79.4,79.4,79.4,73.5,70.6,70.6,67.6,70.6,70.6,61.8,61.8,64.7,
Uruguay,97.1,97.1,97.1,98.5,100,100,100,100,100,100,100,97.1,97.1,97.1,97.1
United States,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,85.3,82.4,82.4,82.4,82.4,82.4,85.3
Uzbekistan,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,8.8,8.8,8.8
Venezuela,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,58.8,55.9,52.9,38.2,35.3,32.4,26.5
Vietnam,14.7,14.7,14.7,14.7,14.7,14.7,14.7,17.6,23.5,29.4,29.4,26.5,26.5,26.5,23.5
Yemen,23.5,20.6,17.6,14.7,11.8,8.8,11.8,11.8,11.8,8.8,8.8,8.8,8.8,8.8,8.8
South Africa,88.2,88.2,88.2,86.8,85.3,85.3,85.3,85.3,85.3,79.4,79.4,79.4,79.4,79.4,73.5
Zambia,67.6,67.6,67.6,70.5,73.5,73.5,73.5,73.5,73.5,73.5,67.6,64.7,64.7,64.7,58.8
Zimbabwe,26.5,25,23.5,26.4,29.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4,32.4
